"","modelocol","","",""
"","Muy_bueno","","malo",""
"","Coef.","ci95","Coef.","ci95"
"edad","0.985","0.983,0.988","1.033","1.031,1.035"
"sexo","1.481","1.415,1.549","0.739","0.706,0.773"
"tamaño_hogar","0.954","0.940,0.968","1.004","0.992,1.015"
"estado_civil","0.976","0.924,1.031","1.028","0.983,1.075"
"etnia","0.880","0.811,0.953","1.020","0.961,1.083"
"ocupacion","1.081","1.027,1.138","0.878","0.840,0.919"
"educacion","1.038","1.030,1.046","0.939","0.933,0.944"
"riqueza_2","1.208","1.070,1.364","0.841","0.777,0.910"
"riqueza_3","1.243","1.082,1.428","0.753","0.684,0.828"
"riqueza_4","1.238","1.068,1.435","0.663","0.598,0.734"
"riqueza_5","1.618","1.389,1.884","0.488","0.437,0.546"
"eps_cont","1.075","0.987,1.170","0.698","0.648,0.751"
"eps_sub","0.833","0.764,0.909","0.968","0.907,1.033"
"eps_esp","1.276","1.093,1.489","0.815","0.699,0.950"
"obesidad","0.884","0.822,0.950","1.192","1.133,1.254"
"bajopeso","0.794","0.681,0.925","1.313","1.161,1.485"
"urbano","0.932","0.821,1.057","0.998","0.922,1.080"
"_cons","0.353","0.298,0.419","0.442","0.388,0.504"
"N","91591","","",""
