edad_x,edad_p1,edad_p2,edad_p3,edad_sex1_p3,edad_sex0_p3,edad_riq1_p3,edad_riq2_p3,edad_riq3_p3,edad_riq4_p3,edad_riq5_p3,edad_etn_p3,edad_netn_p3,edad_epsno_p3,edad_epsc_p3,edad_epss_p3,edad_epse_p3,edu_p3,edu_sex1_p3,edu_sex0_p3,edu_obes_p3,edu_bajo_p3,edu_nutr_p3
18,.2204298,.6090336,.1705366,.1391446,.1958264,.2185192,.1832586,.1662331,.149449,.1067805,.1765177,.168911,.1895437,.1378697,.1918061,.1503832,.4180389,.3663233,.4558925,.4557403,.4838694,.4077528
20.42105,.211396,.6052644,.1833396,.150227,.2098653,.2336858,.1967901,.1788117,.160999,.1156827,.1895623,.1816466,.2034918,.1487786,.205676,.1622729,.3996994,.3485744,.4373613,.43712,.465221,.3895245
22.84211,.2024582,.6007048,.196837,.1619895,.2245905,.2495276,.2110219,.1920844,.1732246,.1251929,.2032954,.1950783,.2181472,.1603552,.2202363,.1748693,.3815815,.331176,.418952,.4186217,.4466186,.371544
25.26316,.1936261,.5953425,.2110314,.1744456,.239995,.2660281,.2259516,.2060554,.1861358,.1353333,.2177174,.209209,.2335044,.1726135,.2354811,.1881819,.3637314,.3141676,.4007139,.400295,.4281131,.3538562
27.68421,.1849099,.5891698,.2259203,.1876052,.2560662,.2831649,.2415709,.2207238,.1997387,.1461244,.2328237,.224037,.2495523,.1855638,.2513995,.2022161,.3461928,.2975848,.3826943,.3821882,.4097541,.3365033
30.10526,.1763203,.5821839,.2414958,.2014738,.2727854,.3009093,.257866,.2360836,.2140349,.157584,.248604,.2395548,.2662734,.1992124,.2679743,.216972,.3290065,.2814596,.3649386,.3643475,.3915903,.3195244
32.52632,.1678686,.5743872,.2577441,.216052,.290128,.3192261,.2748168,.2521229,.2290209,.1697269,.2650427,.2557494,.2836438,.2135609,.2851824,.2324441,.3122101,.2658198,.3474897,.3468165,.3736684,.3029552
34.94737,.1595664,.5657881,.2746455,.231335,.3080629,.338074,.2923968,.2688241,.2446878,.1825643,.2821176,.2726015,.301633,.2286057,.3029943,.2486209,.2958376,.2506891,.3303879,.329636,.3560329,.2868276
37.36842,.1514252,.5564011,.2921737,.2473124,.3265528,.3574056,.3105729,.286163,.261021,.1961034,.2998006,.2900856,.3202041,.2443379,.3213741,.2654844,.2799192,.2360871,.3136699,.3128436,.3387255,.2711697
39.78947,.143457,.5462467,.3102963,.2639675,.3455546,.377168,.3293059,.3041091,.2779996,.2103469,.3180573,.3081697,.3393134,.2607425,.3402799,.2830102,.2644813,.2220293,.2973693,.2964731,.3217851,.2560058
42.21053,.1356735,.5353522,.3289743,.281277,.3650188,.3973028,.34855,.3226254,.2955965,.2252923,.3368467,.3268153,.3589112,.2777982,.3596636,.3011667,.2495463,.2085273,.2815158,.2805549,.305247,.2413559
44.63158,.1280864,.5237511,.3481625,.2992114,.3848909,.4177472,.3682534,.3416687,.3137785,.2409316,.3561223,.3459777,.3789416,.2954777,.3794716,.3199156,.2351326,.1955885,.2661355,.2651154,.2891431,.2272364
47.05263,.1207069,.5114834,.3678097,.3177342,.4051109,.4384344,.388359,.3611894,.3325056,.2572508,.3758315,.3656061,.3993436,.3137467,.3996449,.3392119,.2212546,.1832171,.2512504,.250177,.2735014,.2136594
49.47368,.1135458,.498595,.3878592,.3368025,.425615,.4592948,.4088044,.3811326,.351732,.2742299,.3959168,.3856441,.4200514,.3325649,.4201202,.3590039,.2079229,.1714135,.2368787,.2357581,.2583461,.2006335
51.89474,.1066131,.4851375,.4082494,.356367,.4463356,.4802565,.4295232,.401438,.3714061,.2918423,.4163157,.4060304,.4409955,.3518856,.4408306,.379234,.1951444,.1601749,.2230348,.2218732,.2436975,.1881636
54.31579,.099918,.4711675,.4289144,.3763724,.4672025,.5012466,.4504455,.4220408,.3914705,.3100547,.4369621,.426699,.4621032,.371656,.4617059,.3998389,.1829226,.149496,.2097294,.2085331,.2295719,.1762514
56.73684,.0934687,.4567463,.449785,.396758,.4881438,.522192,.4714988,.4428724,.4118635,.3288276,.4577867,.4475807,.4833001,.3918182,.4826741,.4207508,.1712576,.1393683,.1969695,.1957448,.2159819,.1648951
59.15789,.0872722,.4419386,.4707892,.4174584,.5090868,.5430206,.4926092,.4638615,.432519,.3481149,.4787182,.4686035,.5045107,.4123091,.5036623,.4418978,.1601465,.1297816,.1847587,.1835119,.2029363,.1540903
61.57895,.0813342,.4268121,.4918537,.438404,.5299592,.5636622,.5137024,.484935,.4533678,.3678645,.4996838,.4896939,.5256597,.4330616,.5245976,.463205,.1495836,.1207231,.1730973,.1718345,.1904404,.14383
64,.0756592,.4114364,.5129044,.4595224,.5506896,.5840492,.5347043,.5060186,.4743381,.3880187,.5206108,.5107775,.5466729,.4540055,.5454078,.4845957,.1395609,.1121787,.1619828,.1607099,.1784961,.1341046
