edu_x,edu_p1,edu_p2,edu_p3,edu_sex1_p3,edu_sex0_p3,edu_obes_p3,edu_bajo_p3,edu_nutr_p3
0,.0982442,.483717,.4180389,.3663233,.4558925,.4557403,.4838694,.4077528
1.090909,.1047867,.4955139,.3996994,.3485744,.4373613,.43712,.465221,.3895245
2.181818,.1115943,.5068241,.3815815,.331176,.418952,.4186217,.4466186,.371544
3.272727,.1186637,.5176049,.3637314,.3141676,.4007139,.400295,.4281131,.3538562
4.363636,.1259904,.5278168,.3461928,.2975848,.3826943,.3821882,.4097541,.3365033
5.454545,.1335692,.5374243,.3290065,.2814596,.3649386,.3643475,.3915903,.3195244
6.545455,.141394,.5463959,.3122101,.2658198,.3474897,.3468165,.3736684,.3029552
7.636364,.1494582,.5547042,.2958376,.2506891,.3303879,.329636,.3560329,.2868276
8.727273,.1577544,.5623264,.2799192,.2360871,.3136699,.3128436,.3387255,.2711697
9.818182,.1662747,.569244,.2644813,.2220293,.2973693,.2964731,.3217851,.2560058
10.90909,.1750107,.575443,.2495463,.2085273,.2815158,.2805549,.305247,.2413559
12,.1839538,.5809137,.2351326,.1955885,.2661355,.2651154,.2891431,.2272364
13.09091,.1930947,.5856507,.2212546,.1832171,.2512504,.250177,.2735014,.2136594
14.18182,.2024244,.5896528,.2079229,.1714135,.2368787,.2357581,.2583461,.2006335
15.27273,.2119332,.5929224,.1951444,.1601749,.2230348,.2218732,.2436975,.1881636
16.36364,.2216117,.5954657,.1829226,.149496,.2097294,.2085331,.2295719,.1762514
17.45455,.2314502,.5972922,.1712576,.1393683,.1969695,.1957448,.2159819,.1648951
18.54545,.241439,.5984145,.1601465,.1297816,.1847587,.1835119,.2029363,.1540903
19.63636,.2515686,.5988477,.1495836,.1207231,.1730973,.1718345,.1904404,.14383
20.72727,.2618294,.5986097,.1395609,.1121787,.1619828,.1607099,.1784961,.1341046
21.81818,.272212,.5977201,.1300679,.1041325,.15141,.1501325,.1671023,.1249027
22.90909,.2827069,.5962006,.1210925,.0965678,.141371,.1400945,.156255,.1162112
24,.2933051,.5940743,.1126206,.0894667,.131856,.1305855,.1459475,.1080151
