edu_p1	edu_p2	edu_p3	edu_x	edu_sex1_p3	edu_sex0_p3	edu_obes_p3	edu_bajo_p3	edu_nutr_p3
.1036651	.5300047	.3663303	0	.313517	.407565	.3976366	.4108754	.356808
.1064001	.5351114	.3584885	1	.3061734	.3994628	.3896061	.40283	.3490332
.1091757	.5401111	.3507132	2	.2989182	.391407	.381627	.3948293	.3413292
.1119915	.5450007	.3430078	3	.2917539	.3834018	.3737031	.3868772	.3336995
.114847	.5497773	.3353757	4	.2846829	.375451	.3658383	.3789777	.3261471
.1177419	.5544379	.3278202	5	.2777074	.3675586	.3580363	.3711344	.3186753
.1206756	.5589801	.3203443	6	.2708296	.3597282	.3503007	.3633511	.3112869
.1236477	.5634013	.312951	7	.2640513	.3519635	.3426348	.3556313	.3039848
.1266577	.5676991	.3056432	8	.2573742	.3442681	.335042	.3479784	.2967716
.129705	.5718716	.2984234	9	.2508001	.3366451	.3275256	.3403958	.2896497
.1327893	.5759165	.2912942	10	.2443303	.329098	.3200884	.3328866	.2826216
.1359098	.5798323	.2842579	11	.2379662	.3216297	.3127334	.3254538	.2756893
.1390662	.5836171	.2773167	12	.2317087	.3142432	.3054635	.3181005	.2688549
.1422578	.5872695	.2704727	13	.225559	.3069413	.2982811	.3108293	.2621202
.1454841	.5907882	.2637277	14	.2195179	.2997268	.2911887	.3036428	.255487
.1487445	.5941721	.2570834	15	.2135859	.292602	.2841886	.2965437	.2489568
.1520385	.59742	.2505414	16	.2077637	.2855693	.277283	.289534	.2425309
.1553655	.6005313	.2441031	17	.2020517	.2786309	.2704739	.2826162	.2362106
.1587249	.6035053	.2377698	18	.1964502	.2717889	.263763	.2757921	.2299969
.1621161	.6063414	.2315425	19	.1909592	.2650451	.2571521	.2690637	.2238908
.1655386	.6090392	.2254222	20	.1855787	.2584012	.2506426	.2624328	.217893
.1689918	.6115986	.2194097	21	.1803087	.2518589	.2442361	.2559007	.2120043
.172475	.6140193	.2135056	22	.1751489	.2454195	.2379335	.2494691	.206225
